transcript	hitid	hit description
Crpow_TRINITY_DN15666_c0_g1	4CL1_NARPS	4-coumarate-CoA ligase 1
Crpow_TRINITY_DN8463_c0_g1	4CL1_NARPS	4-coumarate-CoA ligase 1
Crpow_TRINITY_DN8463_c0_g2	4CL1_NARPS	4-coumarate-CoA ligase 1
Crpow_TRINITY_DN9274_c5_g1	4CL1_NARPS	4-coumarate-CoA ligase 1
Crpow_TRINITY_DN14588_c3_g1	4CL2_NARPS	4-coumarate-CoA ligase 2
Crpow_TRINITY_DN5837_c0_g1	4CL2_NARPS	4-coumarate-CoA ligase 2
Crpow_TRINITY_DN7134_c0_g1	4CL2_NARPS	4-coumarate-CoA ligase 2
Crpow_TRINITY_DN237601_c0_g1	4CLL4_ORYSJ	4-coumarate--CoA ligase-like 4
Crpow_TRINITY_DN29724_c0_g1	4CLL4_ORYSJ	4-coumarate--CoA ligase-like 4
Crpow_TRINITY_DN540271_c0_g1	4CLL4_ORYSJ	4-coumarate--CoA ligase-like 4
Crpow_TRINITY_DN106496_c0_g1	4CLL5_ORYSJ	4-coumarate--CoA ligase-like 5
Crpow_TRINITY_DN17876_c0_g1	4CLL5_ORYSJ	4-coumarate--CoA ligase-like 5
Crpow_TRINITY_DN382574_c0_g1	4CLL5_ORYSJ	4-coumarate--CoA ligase-like 5
Crpow_TRINITY_DN1304_c0_g1	4CLL6_ARATH	4-coumarate--CoA ligase-like 6
Crpow_TRINITY_DN106496_c0_g2	4CLL7_ORYSJ	4-coumarate--CoA ligase-like 7
Crpow_TRINITY_DN17876_c0_g2	4CLL7_ORYSJ	4-coumarate--CoA ligase-like 7
Crpow_TRINITY_DN8984_c0_g1	4CLL7_ORYSJ	4-coumarate--CoA ligase-like 7
Crpow_TRINITY_DN34817_c1_g1	4CLL8_ORYSJ	Putative 4-coumarate--CoA ligase-like 8
Crpow_TRINITY_DN29253_c0_g1	4CLL9_ARATH	4-coumarate--CoA ligase-like 9
Crpow_TRINITY_DN34624_c2_g1	4CLL9_ARATH	4-coumarate--CoA ligase-like 9
Crpow_TRINITY_DN4818_c1_g1	4CLL9_ARATH	4-coumarate--CoA ligase-like 9
Crpow_TRINITY_DN43473_c0_g1	4CLL9_ORYSJ	4-coumarate--CoA ligase-like 9
Crpow_TRINITY_DN2143_c0_g1	ADK2_ARATH	Adenosine kinase 2
